Degree_difference,Max_degree,Avg_degree,MIN_distance,Avg_cluster_coef,Avg_jaccard,Hyper_jaccard,Adamic_adar
32,54,38.0,2,0.10572153762690847,0.0,0.0,1179.3910637625092
18,20,11.0,2,0.3252873563218391,0.0,0.0,123.41652833075594
12,26,20.0,2,0.13720515109014408,0.0,0.0,424.69645173280776
10,19,14.0,7,0.11948051948051946,0.03125,0.03125,3530.9265654525398
10,13,6.25,1,0.6238095238095237,0.3782661782661783,0.07692307692307693,75.38856637133328
2,8,7.0,2,0.12738095238095237,0.0,0.0,228.6500336907373
1,4,3.5,1,0.25,0.14285714285714285,0.14285714285714285,982.2327243130774
16,38,30.0,2,0.12311996206733049,0.0,0.0,574.6077598826038
1,3,2.5,2,0.4166666666666667,0.0,0.0,21.300001307803548
2,4,3.0,1,0.4095238095238095,0.011111111111111112,0.0,0.0
15,18,10.5,2,0.3733333333333333,0.0,0.0,231.1604077562347
27,31,14.666666666666666,1,0.16113081166272655,0.03021978021978022,0.0,444.82294735227657
7,67,63.5,2,0.23868016041929085,0.0,0.0,2150.5698872985317
3,5,3.3333333333333335,1,0.0,0.0,0.0,0.4170323914242463
31,46,30.5,2,0.11437246963562753,0.0,0.0,445.9709240931292
44,47,25.0,2,0.11684684684684685,0.0,0.0,753.9259744706484
33,36,19.5,1,0.41706989247311826,0.15151515151515152,0.15151515151515152,353.1229867103975
11,14,8.5,1,0.17857142857142855,0.04,0.04,413.64791019551404
2,2,1.0,7,0.5,0.0,0.0,0.0
41,50,26.333333333333332,1,0.14324623660997451,0.061637881234377946,0.02040816326530612,1290.3662752554828
12,17,9.333333333333334,1,0.24146774651889738,0.02023809523809524,0.0,285.78299088210827
12,17,9.0,1,0.4264939309056956,0.2518518518518518,0.1,118.9549951052905
11,12,6.5,2,0.05303030303030303,0.0,0.0,3.4347439237676545
38,42,23.0,1,0.13871635610766048,0.013513513513513514,0.013513513513513514,1092.0921522630344
39,46,23.666666666666668,1,0.22596549267131552,0.16990125978890025,0.10256410256410256,1591.3561607217616
17,23,11.5,1,0.3691636141636142,0.2098324514991182,0.03333333333333333,99.59582235196211
14,17,10.0,2,0.029166666666666667,0.0,0.0,17.311137266010977
8,27,23.0,1,0.14774138904573686,0.1282051282051282,0.1282051282051282,601.9679652323072
9,11,6.5,2,0.023809523809523808,0.0,0.0,44.17324107695141
4,15,13.0,7,0.14677601809954752,0.034482758620689655,0.034482758620689655,1881.0414871114622
